# Source: Chimney.Services — cite as https://www.chimney.services/licensing
state,category_slug,credential_required,credential_name,issuing_body,statute,dollar_threshold,exam,local_overlay,source_urls,confidence,checked_date
Oregon,gas-fireplace-service,license,"CCB contractor license only — Oregon issues NO individual mechanical/gas-fitter license, so NG gas-fireplace service / log install / appliance connection = any CCB-licensed contractor pulling a mechanical permit (ORSC/IFGC); plumbing license (ORS 693) does NOT cover fuel-gas appliance work; BCD 'Limited Maintenance Specialty Contractor' business license fits service-only HVAC/hearth shops (employees unlicensed, roster filed with BCD); LP SPLIT IS SHARP: ALL LP-gas work requires State Fire Marshal LPG licenses — installation license (business) + fitter's license (individual: appliance connection, piping, venting) under ORS 480.432; no chimney-named class (absence verified in CCB/BCD lists)","Oregon CCB (contracting layer); BCD (permits/LMS); State Fire Marshal (LP)","ORS 701.021/.010 (license duty/exemptions); ORS 480.432, 480.450 (LPG); ORS 693 (plumbing — fuel gas absent)","$1,000 casual/minor-work exemption (ORS 701.010; void if advertising as a contractor)","y (CCB 16-hr pre-license training + law exam; SFM LPG fitter exam; NO NG trade exam)","n (Portland city gas license not found — UNVERIFIED)","https://www.oregon.gov/bcd/lbdd/pages/oregon-permits.aspx; https://www.oregon.gov/osfm/industry/pages/lpglicensing.aspx; https://oregon.public.law/statutes/ors_701.010; https://www.oregon.gov/bcd/minlab/Documents/ml-lms-scope.pdf",high,2026-07-10
Oregon,gas-log-install,license,"LP lane tracked separately: a propane log-set/appliance connection requires an individual SFM LPG fitter's license + business LPG installation license (ORS 480.432), with each tank install reported to SFM + $50 fee (ORS 480.450) — while the identical natural-gas job requires NO individual credential (CCB + mechanical permit only); the mismatch axis in Oregon is fuel type, not trade","Oregon State Fire Marshal (LPG program)","ORS 480.432, 480.450","none ($0 — all LP work)","y (LPG fitter exam)",n,"https://www.oregon.gov/osfm/industry/pages/lpglicensing.aspx; https://oregon.public.law/statutes/ors_480.450",high,2026-07-10
Colorado,gas-fireplace-service,none,"HEADLINE CARVE-OUT: statewide fuel-gas piping is licensed-plumber work via the State Plumbing Board permit regime (C.R.S. § 12-155-120; Colorado fuel gas code § 12-155-106), BUT the statutory 'gas piping' definition expressly EXCLUDES 'the installation of gas appliances where existing service connections are already installed' (§ 12-155-103(2)) — so gas-fireplace service and log-set installs on existing stubs are CREDENTIAL-FREE at state level (same as chimney work) while NEW gas-line runs need a licensed plumber; the 'plumbing' definition itself (§ 12-155-103(8)) excludes gas (separate defined term); LP: Division of Oil & Public Safety runs installation permits/state inspections (7 CCR 1101-15) but NO LP installer license exists; real licensing boundary is GEOGRAPHIC: Denver 'Gas Service Contractor' license (ICC F33 Master Gas Pipefitter supervisor exam) + Gas Service Journeyman (F34) — gas/liquid fuel piping, controls, conversion burners, venting; Colorado Springs/PPRBD Mechanical A/B + H-C-1 'Gas Piping Contractor' ('gas piping systems and gas appliances not connected to duct systems' = the exact gas-hearth class) with 'Heating Mechanic I (Fitter)' employee cards","state: CO State Plumbing Board (DORA/DPO — new piping only); local: Denver CPD; Pikes Peak Regional Building Dept.","C.R.S. §§ 12-155-103(2)/(8), 12-155-106, 12-155-108, 12-155-120; 3 CCR 720-1; C.R.S. § 8-20-402 + 7 CCR 1101-15 (LP)","none (activity-based; homeowner own-home exemption in § 12-155-120)","y in Denver/PPRBD (ICC F33/F34 exams; PPRBD fitter proficiency); n statewide for existing-connection appliance work","y — Denver + PPRBD ARE the regime, not an overlay; elsewhere county/municipal permits or nothing","https://law.justia.com/codes/colorado/title-12/business-professions-and-occupations/article-155/section-12-155-103/; https://www.denvergov.org/Government/Agencies-Departments-Offices/Agencies-Departments-Offices-Directory/Community-Planning-and-Development/Contractor-Licensing/Supervisor-Certificates/Mechanical-Certificates; https://www.pprbd.org/Licensing/LicenseTypes; https://ops.colorado.gov/Petroleum/LiquefiedCompressedGases/LiquefiedPetroleumGas","high (carve-out + local classes); medium-high (§ 12-155-120 text via excerpt)",2026-07-10
Utah,gas-fireplace-service,license,"Dual-layer NG credential: DOPL contractor license (S350 HVAC / P200 General Plumbing / B100; S330 scope even names 'metal fireboxes, fireplaces, and wood or coal-burning stoves, including venting and exhaust systems, if the individual performing the installation is RMGA-certified') + INDIVIDUAL Natural Gas Technician Certification — RMGA Gas Appliance Installer exam (80% pass, certification card carried on person) required for anyone paid to install/modify/repair gas piping, combustion air, venting or derating of any residential/commercial gas appliance (R156-55a-308b); S350/S410 scopes EXCLUDE natural-gas work unless RMGA-certified; CHIMNEY-NAMED EXEMPTION: R156-55a-301(7)(n) exempts 'chimney sweepers other than repairing masonry' from contractor licensure — sweeping unlicensed BY DESIGN while the same shop's gas work is double-credentialed; LP split: State Fire Marshal LPG licenses Class I (dealer — installs LPG appliances/systems + sells LPG) / Class III (sells + installs gas appliances or LPG systems, sells no LPG) under Utah Code Title 53 ch. 7 pt. 3 + R710-6, with employee LP certificates (digital/QR) and 5-yr renewal exam","UT DOPL (contractor + RMGA layer); State Fire Marshal / LP Gas Board (LP)","Utah Code § 58-55-305 (exemptions); Utah Admin. Code R156-55a-301, -308b; Utah Code § 53-7-304; R710-6","handyman tiers (HB 483 2024): <$3,000 exempt / $3,000–<$7,000 one-time DOPL handyman affirmation (GL+WC attested) / >=$7,000 licensed — BUT gas-appliance/combustion, plumbing, electrical, HVAC work is EXCLUDED from the exemption at ANY dollar amount (gas = $0)","y (DOPL trade + business/law exams; RMGA certification exam; LP employee exams)","n (municipal permits sit atop DOPL licensing — flag only)","https://www.law.cornell.edu/regulations/utah/Utah-Admin-Code-R156-55a-308b; https://regulations.justia.com/states/utah/commerce/title-r156/rule-r156-55a/section-r156-55a-301/; https://firemarshal.utah.gov/licensing-and-certification/liquified-petroleum-gas/; https://le.utah.gov/~2024/bills/static/HB0483.html","high (RMGA/classes/LP); medium-high (handyman tiers + effective date)",2026-07-10
Utah,gas-log-install,license,"LP lane tracked separately: propane gas-log/appliance install requires an SFM LPG Class I or Class III company license + individual employee LP certificate (digital/QR-verifiable, 5-yr renewal exam) carrying $1,000,000/$2,000,000 state-filed insurance — while the NG log set rides DOPL + RMGA certification; the LP lane is the only Utah hearth credential with state-verified insurance attached","Utah State Fire Marshal (LP Gas Board)","Utah Code Title 53 ch. 7 pt. 3 (§ 53-7-304 board); R710-6","none ($0 — all LP work)","y (LP certificate exam, 5-yr renewal)",n,"https://firemarshal.utah.gov/licensing-and-certification/liquified-petroleum-gas/",high,2026-07-10
Montana,gas-fireplace-service,registration,"NO occupational gas credential of any kind — Montana's plumbing definition (MCA 37-69-101(7)) contains no fuel gas, there is no mechanical/HVAC/gas-fitter license (absence verified), and no LP installer license (the MDT 'LPG dealer license', ARM 18.15.801, is a vehicle-fuel TAX instrument; the guessed 'MCA Title 50 ch. 74 LPG Act' is WRONG — that chapter is Boilers and Steam Engines); code compliance rides on mechanical permits (IFGC adopted by ARM 24.301.173; LP = NFPA 58 as the Montana LP Gas Code); only credential = exam-free 'construction contractor license' (renamed from Construction Contractor Registration by HB 239, Ch. 644 L. 2025, eff. 1/1/2026 — MCA § 37-45-201, still WC-compliance-based, no competency test) or $125 ICEC for no-employee solos; bonus: appliance-dealer employees may do 'minor work incidental to the installation of an appliance purchased from the dealer' without any plumber license (MCA 37-69-102(1)(f))","MT Dept. of Labor & Industry ERD (contractor license/ICEC); DLI Building Codes Bureau or certified cities (permits)","MCA § 37-45-201 (HB 239 recodification of Title 39 ch. 9); MCA 37-69-101(7), 37-69-102; ARM 24.301.173",none,n,"y — certified-city permit programs (Billings/Missoula/Bozeman); Billings $10,000 plumbing-contractor bond (low-medium); no city gas-fitter exam license confirmed","https://mca.legmt.gov/bills/mca/title_0370/chapter_0450/part_0020/section_0010/0370-0450-0020-0010.html; https://mca.legmt.gov/bills/mca/title_0370/chapter_0690/part_0010/section_0010/0370-0690-0010-0010.html; https://rules.mt.gov/gateway/ruleno.asp?RN=24.301.173; https://bsd.dli.mt.gov/building-codes-permits/permit-applications/mechanical-permits/",high,2026-07-10
Arizona,gas-fireplace-service,license,"ROC C-37/CR-37 Plumbing — A.A.C. R4-9-102 scope includes 'piping, fixtures, appliances and pressure vessels for manufactured and natural gases... petroleum, fuel oil' = the gas piping + appliance-connection class; C-39/R-39R/CR-39 Air Conditioning & Refrigeration reaches 'gas piping from service connection to the equipment it serves' (gas-fired heater/fireplace install as the served equipment); NO fireplace/hearth/chimney-NAMED class in the current post-2020 classification list; NO LP installer license — the 'A.R.S. § 41-2142 LP licensing' cite circulating in project notes is DEBUNKED (that section is manufactured-housing definitions); LP oversight is split among SFM/DFFM (NFPA 58 + commercial tank permits), Dept. of Agriculture Weights & Measures (meters/dispensers only — expressly NOT installation), and the Corporation Commission (utilities) — LP appliance install rides the ordinary ROC license; masonry chimney = C-31/R-31/CR-31, so chimney work is ALSO licensed >$1,000 (low-mismatch state); R-21 Hardscaping may build outdoor fireplaces but must sub out the gas","Arizona Registrar of Contractors","A.R.S. §§ 32-1121(A)(14), 32-1122, 32-1151 et seq.; A.A.C. R4-9-102","$1,000 handyman exemption (labor+materials) — void if a building permit is required (gas work is permit work)","y (trade + business-management exams)","y — Phoenix/Tucson/Maricopa mechanical-gas permit regimes (flag only)","https://regulations.justia.com/states/arizona/title-4/chapter-9/article-1/r4-9-102/; https://www.azleg.gov/ars/32/01121.htm; https://law.justia.com/codes/arizona/2015/title-41/section-41-2142; https://agriculture.az.gov/weights-measures/lpgcng","high (C-37 scope + LP debunk); medium-high (C-39 reach)",2026-07-10
Nevada,gas-fireplace-service,license,"NSCB C-38 'Installing equipment used with liquefied petroleum and natural gas' (NAC 624.550) — C-38b = 'installation of appliances and equipment requiring connection to a supply of liquefied petroleum or natural gas' = THE dedicated gas-hearth/log-set class (C-38a pipes/vents/tanks; C-38c LP/NG warm-air); alternatives: C-1 Plumbing & Heating subclasses C-1d (gas supply), C-1g (pipes and vents for gas), C-1h (water heaters incl. gas connection + venting) per NAC 624.190, and C-21b combustion-based air conditioning (NAC 624.380); the handyman exemption (NRS 624.031) is VOID for work 'of a type performed by a plumbing... heating or air-conditioning contractor' — gas licensed from $0; SECOND LAYER FOR LP: LP Gas Board license (classes 1A/1B/2A/2B/3; fees NAC 590.240) + employee certificates of competency Type INSTALL / Type APPLIANCE — NRS 590.535 makes unlicensed LP system/appliance install unlawful; chimney split stays C-18 masonry / C-13 + C-1e sheet metal ('patented chimneys, flues') with no chimney-named class","Nevada State Contractors Board; Board for the Regulation of Liquefied Petroleum Gas (LP layer)","NRS 624.031 (exemptions); NAC 624.550, 624.190, 624.380; NRS 590.465–590.645 (esp. § 590.535)","$1,000 handyman exemption for repair/maintenance — void if a permit is required OR the work is plumbing/heating-type (gas = $0); owner-occupant exemption NRS 624.031(5) requires Board application + 1-yr sale/lease presumption","y (NSCB trade + business exams; LP Gas Board competency exams)","y — Clark County/Las Vegas + Washoe mechanical/plumbing permit regimes (UNVERIFIED detail)","https://www.leg.state.nv.us/NAC/NAC-624.html; https://www.law.cornell.edu/regulations/nevada/NAC-624-550; https://nevada.public.law/statutes/nrs_624.031; https://www.leg.state.nv.us/NRS/NRS-590.html; https://www.nvlpgasboard.com/",high,2026-07-10
Nevada,gas-log-install,license,"LP lane tracked separately: a propane log-set install needs BOTH the NSCB C-38b (or C-1) classification AND LP Gas Board licensure with a Type APPLIANCE certificate of competency for the technician ('installation/repair of LP-gas appliances'; Type INSTALL covers containers/regulators/leak checks/returning appliances to service) — the only dual-board gas-log lane in the West batch; NG log sets need only the NSCB class","NSCB + NV Board for the Regulation of Liquefied Petroleum Gas","NAC 624.550 (C-38b); NRS 590.535; NAC 590 (competency certificates; fees NAC 590.240)","none ($0)","y (both boards)",n,"https://www.law.cornell.edu/regulations/nevada/NAC-624-550; https://law.justia.com/codes/nevada/2013/chapter-590/statute-590.535; https://www.law.cornell.edu/regulations/nevada/NAC-590-240",high,2026-07-10
Idaho,gas-fireplace-service,license,"Dual-layer DOPL HVAC credential with a HEARTH-NAMED lane: HVAC contractor certificate of competency (Board exam + $2,000 compliance bond, IDAPA 24.39.70.100.03) employing certified journeymen — and the Specialty Journeyman certificate (IDAPA 24.39.70.100.04) whose permitted scope IS the hearth trade: 'install hearth appliances, and non-duct connected oil furnaces, the associated fuel gas piping, and venting dedicated exclusively thereto' (2,000 hrs specialty experience + Board exam OR 60 hrs of fuel-gas-code/piping education; earlier rule versions named the National Fireplace Institute program as approved training — the current 3/28/2023 rule text does not name NFI); HVAC permits are required statewide and the fee schedule names 'decorative gas-fired appliance' and 'factory-built gas fireplace' BY NAME (Rule 500.02.a), with DOPL itself issuing permits where no local program exists; LP SPLIT AT THE SECOND-STAGE REGULATOR: the Idaho LPG Public Safety Act governs outdoor LPG tank setting + outdoor piping through the second-stage regulator 'notwithstanding' HVAC/plumbing law (§ 54-5302(4)) via DOPL LPG Safety Board dealer/facility licenses, while indoor LP piping + the appliance connection stay HVAC; chimney/masonry work needs only the exam-free contractor registration (Title 54 ch. 52) — and § 54-5213 bans local licensing, so nowhere in Idaho is chimney competence ever tested","Idaho DOPL — HVAC Board (Title 54 ch. 50); Idaho LPG Safety Board (Title 54 ch. 53, tank-to-second-stage lane)","Idaho Code Title 54 ch. 50 (§§ 54-5008, 54-5009, 54-5015); IDAPA 24.39.70.100, .300, .500; Idaho Code §§ 54-5302(4), 54-5303(9)","none ($0 — certification + permit from the first gas appliance; contrast: general contractor registration exempt under $2,000 aggregate, § 54-5205(2)(f))","y (HVAC contractor + journeyman exams; specialty journeyman may substitute the 60-hr fuel-gas education for the exam; LPG dealer exam § 54-5307(4))","n — § 54-5015 gives the state exclusive HVAC jurisdiction (locals may not require additional licenses/fees) and § 54-5213 bans local contractor registration outright; local building depts handle only building-side permits","https://adminrules.idaho.gov/rules/current/24/243970.pdf; https://www.law.cornell.edu/regulations/idaho/IDAPA-24.39.70.500; https://legislature.idaho.gov/wp-content/uploads/statutesrules/idstat/Title54/T54CH53.pdf; https://dopl.idaho.gov/hvac/hvac-faqs/; https://law.justia.com/codes/idaho/title-54/chapter-50/section-54-5015/",high,2026-07-22
Idaho,gas-log-install,license,"LP lane tracked separately: a propane log-set job SPLITS at the second-stage regulator — outdoor tank setting + outdoor piping through the second-stage regulator is LPG-DEALER-licensed work (§ 54-5302(4) makes the LPG chapter govern that zone 'notwithstanding any other provisions of law pertaining to the installation of plumbing and heating, ventilation, and air conditioning systems'; 'LPG dealer practice' includes 'installation or maintenance of systems, equipment, pipes or containers for the use or storage of LPG', § 54-5303(9); unlicensed LPG practice = misdemeanor, $1,000/6 months, § 54-5316; dealer license = board-approved training + experience + exam, § 54-5307), while the indoor piping, appliance connection and venting stay with the DOPL HVAC credential incl. the hearth-scoped Specialty Journeyman; LPG FACILITY licenses (fixed selling/filling locations) require a $1,000,000 single-limit GL certificate filed with the board (§ 54-5308(1)(j)) — the only state-filed $1M instrument in Idaho contracting; NG log sets ride the HVAC lane alone","Idaho LPG Safety Board (DOPL) + DOPL HVAC Board","Idaho Code §§ 54-5302(4), 54-5303(8)-(9), 54-5304, 54-5307, 54-5308, 54-5316; IDAPA 24.39.70.100.04","none ($0 — all LPG dealer practice licensed; portable-container dispensing/exchange exempt, § 54-5305(2)-(3))","y (LPG dealer exam; HVAC exams on the appliance side)",n,"https://legislature.idaho.gov/wp-content/uploads/statutesrules/idstat/Title54/T54CH53.pdf; https://dopl.idaho.gov/lpg/",high,2026-07-22
Wyoming,gas-fireplace-service,none,"NO state credential of any kind for gas work — the vacuum is total and verified on BOTH fuels: Wyoming licenses exactly one construction trade statewide (electricians, via the Dept. of Fire Prevention & Electrical Safety / State Fire Marshal); there is no plumbing, HVAC, mechanical or gas-fitter license, and NO LP dealer or installer license either — the only state 'license' touching propane is the WYDOT alternative-fuel SUPPLIER/DISTRIBUTOR license ($25/yr), a motor-fuel TAX instrument (MT-debunk-pattern trap: it credentials nothing about safety or installation); gas-appliance and gas-piping work is governed solely by locally adopted fire/fuel-gas codes (IFC ch. 61/NFPA 58 + IFGC) in code cities — Cheyenne, Casper, Gillette, Laramie, Teton Co./Jackson — and by NOTHING in no-code rural areas (the SFM's 2021 I-code adoptions reach state buildings/schools/no-local-enforcement areas, not ordinary homes); the only contractor credential anywhere is MUNICIPAL contractor licensing (Cheyenne Class A/B/R, Casper 5 classes, Gillette, Cody, Jackson incl. unincorporated Teton Co.); MISMATCH: NONE — flat vacuum, gas and chimney sit at identical zero (deeper than Montana, which at least has registration/ICEC)","no state issuing body exists (electrical-only: WY Dept. of Fire Prevention & Electrical Safety); municipal licensing boards otherwise","absence verified — no contractor/gas licensing chapter in Wyoming statutes to cite (rights-research search trail 2026-07-10 + LP re-search 2026-07-22); SFM codes = 2021 IBC/IFC/IMC/IFGC for state-scope buildings","none at any dollar (no credential exists to have a threshold)",n,"y — the ENTIRE regime is local: city contractor licenses + city mechanical/gas permits are the only gas oversight in the state; Teton County (2024 IFC/IWUIC, engineered fireplace plans, spark arrestors) is the most sophisticated jurisdiction","https://wsfm.wyo.gov/electrical-safety/licensing; https://www.dot.state.wy.us/home/business_with_wydot/fuel_tax/new_applicants.html; https://up.codes/viewer/wyoming/ifc-2015/chapter/61/liquefied-petroleum-gases; https://www.cheyennecity.org/","high (absence, multi-source)",2026-07-22
Alaska,gas-fireplace-service,license,"THREE-LAYER regime — the deepest structure in the batch: (1) FIRM: CBPL MECHANICAL contractor registration under AS 08.18 (bond + insurance, no exam; the mechanical category carries the $10,000 bond tier, AS 08.18.071); (2) SUPERVISOR: the firm's work must be overseen by a licensed MECHANICAL ADMINISTRATOR (AS 08.40) in a category covering the work — the 'residential heating/HVAC' category scope expressly includes 'fuel gas piping downstream of the gas meter... integral to work on an HVAC system' for single-family/duplex dwellings <=3 stories and warm-air systems <=240,000 BTU/hr (12 AAC 39.332), and the 'heating, cooling, and process piping' category includes fuel gas piping (12 AAC 39 art. 2); (3) HANDS-ON INDIVIDUAL: certificate of fitness under AS 18.62 (DOL Labor Standards & Safety, Mechanical Inspection) — the JOURNEYMAN GAS FITTER COF requires 4,000 hrs in the trade with min 2,000 hrs in fuel gas piping installation (plumber journeyman COF = 8,000 hrs, 8 AAC 90.130; gas-fitter section within 8 AAC 90 — exact number pin before publish), and provisional COFs may NOT perform fuel gas work; the <$10,000 project exemption (AS 08.18.161(8)) EVAPORATES on any advertising and bars contract-splitting; NO separate LP board — the gas-fitter COF is fuel-agnostic and LP otherwise rides fire code (13 AAC 50-55/NFPA 58; absence medium); chimney/masonry work by contrast = general/specialty registration only (bond + insurance paperwork, no administrator, no COF, no exam)","AK DCCED CBPL (registration); DCCED (mechanical administrator licenses, AS 08.40); AK DOL Mechanical Inspection Section (certificates of fitness, AS 18.62)","AS 08.18.011, 08.18.071, 08.18.101, 08.18.151, 08.18.161(8); AS 08.40 (administrators); 12 AAC 39.332; AS 18.62.010; 8 AAC 90","$10,000 whole-project exemption (AS 08.18.161(8)) — void if the person advertises or displays anything 'that might indicate to the public that the person is a contractor'; insurance still required at $2,500+ even under the exemption","y at layers 2-3 (mechanical administrator category exams; COF gas fitter/plumber exams); n at layer 1 (registration attests bond + insurance only)","y — deferred jurisdictions (Anchorage, Fairbanks city, Juneau) run their own building departments, mechanical permits and journeyman exams (Anchorage journeyman plumbing exam); most of rural/bush Alaska has NO permit office at all","https://www.commerce.alaska.gov/web/portals/5/pub/contractorstatutes.pdf; https://www.commerce.alaska.gov/web/Portals/5/pub/MechStatutes.pdf; https://www.law.cornell.edu/regulations/alaska/12-AAC-39-332; https://labor.alaska.gov/lss/forms/cof-regs.pdf; https://www.law.cornell.edu/regulations/alaska/8-AAC-90.130","high (structure + administrator scopes); medium (gas-fitter COF exact rule number, LP absence)",2026-07-22
New Mexico,gas-fireplace-service,license,"CID MM-2 'Natural gas fitting' (14.6.6.11 NMAC) is the DIRECT-HIT class — its scope names the hearth stack: 'install, alter, repair, service and maintain natural gas piping and fittings... warm air heating systems including CHIMNEY CONNECTIONS, FLUES, REFRACTORIES, burners, fittings, valves... warm air appliances and other listed gas appliances' (4 yrs experience; qualifying-party trade exam + business/law exam, 75% pass); MM-98 (mechanical) and MM-1 also reach it; the hands-on worker layer is the certified JOURNEYMAN natural gas fitter (JNG) or journeyman plumber-and-gasfitter (JPG) working under an MM-1/MM-2/MM-98 license (14.6.4 NMAC); NO per-job dollar threshold — license required before contracting (§ 60-13-12) and the handyman carve-out is a <=$7,200/YEAR income cap that NEVER covers gas (§ 60-13-3; 14.6.2.8 NMAC); unlicensed = misdemeanor scaled to job value + no suit/no lien (§§ 60-13-52, 60-13-30); chimney masonry = GS-16 (adobe named)/GS-32 prefab per rights file — both licensed, so the NM mismatch is CLASSY (NV/AZ pattern): everything licensed, gas simply gets a named class + journeyman layer + a second LP regulator","NM Regulation & Licensing Dept., Construction Industries Division (CID); NM Construction Industries Commission","NMSA 1978 §§ 60-13-12, 60-13-3, 60-13-52, 60-13-30; 14.6.6.11 NMAC (eff. 3/10/2022); 14.6.4 NMAC (journeyman)","none ($0 — license before contracting; handyman exemption = <=$7,200/YEAR total compensation, one project at a time, annual declaration filed, never electrical/plumbing/gas)","y (qualifying-party trade + business/law exams, 75%; journeyman certification exams; NASCLA-accredited general exam waiver possible for the state trade exam per 14.6.3.8(G)(2)(f))","y — full-service local building departments (ABQ, Santa Fe, Las Cruces, Rio Rancho) permit/inspect mechanical work under the same state code; CID is the building department everywhere else — EXCEPT LP, where CID authority is exclusive statewide","https://www.law.cornell.edu/regulations/new-mexico/14-6-6-11-NMAC; https://www.srca.nm.gov/parts/title14/14.006.0006.html; https://law.justia.com/codes/new-mexico/chapter-60/article-13/section-60-13-12/; https://www.srca.nm.gov/parts/title14/14.006.0003.html",high,2026-07-22
New Mexico,gas-log-install,license,"LP lane tracked separately — and it is CID-EXCLUSIVE statewide: no person may engage in 'installing of containers or APPLIANCES for LP gases' without a license from the LP Gas Bureau (within CID) for each main/branch office under the LPG and CNG Act (NMSA § 70-5-6; annual license + fees § 70-5-9; bureau determines applicant 'fit and able'); license types/classifications are bureau-set (exact class list for appliance-install-only UNVERIFIED — pin before publish); the kicker for audit design: even FULL-SERVICE local building departments have NO authority over LP work — 'this authority does not include work in the liquefied petroleum industry over which CID has exclusive authority' (14.6.5.9(A)(2) NMAC), so every LP permit/inspection in the state is a CID record; NG log sets ride MM-2/MM-98 + journeyman alone","NM CID LP Gas Bureau (LPG & CNG Act); CID exclusive AHJ for all LP work","NMSA 1978 §§ 70-5-6, 70-5-9; 14.6.5.9(A)(2) NMAC; 14.6.3.3 NMAC (LPG Act inside CID licensing rule's authority)","none ($0 — all LP installation licensed)","y (bureau fitness determination; exam detail bureau-set, UNVERIFIED)","n — CID exclusive statewide for LP (locals barred)","https://law.justia.com/codes/new-mexico/chapter-70/article-5/section-70-5-6/; https://www.srca.nm.gov/parts/title14/14.006.0005.html; https://law.justia.com/codes/new-mexico/chapter-70/article-5/section-70-5-9/","high (license requirement + CID exclusivity); medium (class/exam detail)",2026-07-22
Texas,stove-install,none,"No installer credential and no statewide contracting layer of any kind (Texas licenses no chimney/solid-fuel/GC work — per Pass 1); TDLR ACR (HVAC) licensing covers environmental air conditioning / process cooling-heating under Occ. Code ch. 1302 and does not reach freestanding wood/pellet stoves (scope-edge UNVERIFIED); THE CODE ABSENCE IS THE FINDING: no statewide residential code outside municipalities — Loc. Gov't Code § 214.212 adopts the IRC 'as it existed on May 1, 2012' as the MUNICIPAL residential code (cities may amend by public-hearing process), so manufacturer-listing/manufacturer-instruction rules reach only incorporated areas; unincorporated Texas has no residential code and no permits at all","n/a statewide; municipal building departments (permits, incorporated areas only)","Tex. Loc. Gov't Code § 214.212; Tex. Occ. Code ch. 1302 (ACR)",none,n,"y — cities adopt/amend IRC (Austin/Dallas/Houston on newer editions) and issue building/mechanical permits; no city stove-installer license found","https://texas.public.law/statutes/tex._local_gov't_code_section_214.212; https://sll.texas.gov/law-legislation/texas/building-codes/residential-building-codes",high,2026-07-22
Florida,stove-install,license,"No solid-fuel-specific credential, but Florida's universal contracting law captures the work: a compensated stove/insert install is 'contracting' under § 489.105(3) (repair/alter/remodel/improve any structure) and unlicensed contracting is criminal (§ 489.127) with NO dollar floor; WHICH class is gray — Mechanical (3)(i) and Class A/B air-conditioning (3)(f)-(g) scopes are written around CENTRAL air-conditioning/refrigeration/heating/ventilating systems and never mention solid fuel (full definitions section fetched — 'solid fuel' appears nowhere in § 489.105), so freestanding stoves sit outside the literal HVAC scopes and Division I (general/building/residential) or a board-rule specialty is the safer hook; county practice: mechanical permit required with manufacturer's instructions present at inspection; owner-builder exemption § 489.103; FBC-Residential 8th ed. (2023, 2021 IRC base) eff. 12/31/2023 carries the listing rules (9th ed. expected eff. 12/31/2026)","FL DBPR Construction Industry Licensing Board; local building departments (permits)","§§ 489.105, 489.127, 489.103, Fla. Stat. (fetched); FBC-R 8th ed. (2023)",none,"y (contractor exams)","y — county specialty/competency cards persist (e.g., Miami-Dade building specialties); which class a county demands for a stove install varies","http://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&URL=0400-0499/0489/Sections/0489.105.html; https://up.codes/viewer/florida/fl-residential-code-2023; https://codes.iccsafe.org/content/FLRC2023P1",medium,2026-07-22
North Carolina,stove-install,none,"No credential for freestanding wood/pellet stoves or inserts — G.S. 87-21(a)(4) (fetched) defines heating group three as a direct heating/cooling system 'using an air distribution system of ducts' and (a)(2) group one as steam/vapor/hot-water systems, so a duct-less freestanding stove falls outside the P-H-FS Board's article entirely; CAPTURE EDGES: central solid-fuel equipment IS licensed work (hydronic wood/coal boiler = H-1; ducted wood furnace = H-2/H-3) — NC joins the WV/KY/ME heat-role-scoped family with the line drawn at the DISTRIBUTION SYSTEM rather than 'primary heat' use; GC license only >= $40,000; permits local; CODE TRAP: 2018 NC Residential Code (2015 IRC base) still in force — the 2024 NCRC (2021 IRC base) was delayed by S.L. 2025-2 to at least 3/1/2027 pending appointment of the new Residential Code Council (2024 COMMERCIAL code became mandatory 7/1/2025)","n/a for freestanding stoves; State Board of Examiners of Plumbing, Heating and Fire Sprinkler Contractors (central solid-fuel); NCLBGC (>= $40k)","G.S. 87-21(a)(2)-(4) (fetched); G.S. 87-1(a) ($40k, per rights research); S.L. 2025-2 (code delay)","$40,000 (GC layer)",n,n,"https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/BySection/Chapter_87/GS_87-21.html; https://www.ncosfm.gov/news/press-releases/2025/04/07/north-carolina-delays-implementation-2024-state-building-code; https://www.icc-nta.org/code-update/north-carolina-2024-building-code-mandatorily-effective-7-1-25/",high,2026-07-22
South Carolina,stove-install,license,"No hearth/solid-fuel category exists anywhere in the SC scheme — Reg. 106-1 (fetched in full) lists 13 residential specialty classifications with no stove/hearth/chimney entry, and the HVAC specialty scope is 'components necessary to produce conditioned air for environmental heating or cooling' (gas furnaces/space heaters named, solid fuel absent) — wood/pellet stoves sit OUTSIDE the exam-gated HVAC specialty (the CT pattern: gas hearth exam-licensed, wood hearth not); the operative gate is the generalist layer: undertakings >$5,000 require the Residential Builder license (exam); masonry fireplace construction rides the Masons registration >$500 (no exam); permits under 2021 SC Residential Code (2021 IRC, eff. 1/1/2023; 2024 SC codes in adoption — modifications published in State Register 5/22/2026, effective date not yet set)","SC Residential Builders Commission (LLR)","S.C. Code §§ 40-59-20, 40-59-30; S.C. Reg. 106-1, 106-2 (fetched)","$5,000 (Residential Builder license); $500 (specialty registrations)","y (RB exam; specialty registrations no exam)","y — § 40-59-240(C) municipal exam option (per Pass 1)","https://www.scstatehouse.gov/coderegs/Chapter%20106.pdf; https://law.justia.com/codes/south-carolina/title-40/chapter-59/section-40-59-20/; https://llr.sc.gov/bcc/BCAdoption.aspx",high,2026-07-22
